i_new,revenu,Unnamed:_2,Freq_Nombre_de_Jours_sans_pluie,nbjour,nbjsp,uc1,revenu,revenu,nbpers,nenf,naa,nana,jardin,Piscine_1__oui,Assainissement_Collectif_1__oui,NonAssaini,maison,retraité_1__oui,proprio_1__oui,id_projet,SNWA,Garden_Weather,UC_Oxford,UC_OCDE,Niveau_vie_Oxford,Niveau_vie_OCDE
186,1168.0341372062412,186,0.14246575342465753,365,52,1.0,4,564,1,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,1.0,,
74,8623.950440620793,74,0.7393617021276596,376,278,3.6,2,3569,5,1,2,2,1,0,0,1,1,0,1,1,0.5,0.7393617021276596,3.5999999999999996,2.8,,
154,1087.9194319264393,154,0.8218390804597702,174,143,2.7,3,1170,4,2,1,1,1,0,0,1,1,0,0,1,0.5,0.8218390804597702,2.7,2.1,,
76,3077.1990486234727,76,0.6809815950920245,163,111,3.6,2,3569,5,1,2,2,1,0,0,1,1,0,1,1,0.5,0.6809815950920245,3.5999999999999996,2.8,,
71,460.358114319144,71,0.7314285714285714,175,128,2.0,4,426,3,2,0,1,0,0,1,0,0,0,0,1,1.0,0.0,2.0,1.6,,
238,861.5091195713148,238,0.3103448275862069,174,54,1.0,4,560,1,0,0,1,1,0,0,1,1,1,0,1,1.0,0.3103448275862069,1.0,1.0,,
416,917.1359622845143,416,0.44919786096256686,187,84,1.7,1,2067,2,0,2,0,0,0,1,0,0,0,0,1,0.0,0.0,1.7,1.5,,
299,1837.7512680680552,299,0.17647058823529413,187,33,1.0,3,1106,1,0,0,1,1,0,0,1,1,1,0,1,1.0,0.17647058823529413,1.0,1.0,,
262,4270.028687032398,262,0.3275862068965517,174,57,2.0,2,3705,3,2,1,0,1,0,0,1,1,0,0,1,0.0,0.3275862068965517,2.0,1.6,,
34,809.445053842517,34,0.45901639344262296,183,84,3.9,3,1110,6,3,0,3,1,0,0,1,1,0,0,1,1.0,0.45901639344262296,3.9,2.9,,
248,2077.7592398057955,248,0.8626373626373627,182,157,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,1,1,0.0,0.8626373626373627,1.7,1.5,,
318,2378.2577510089745,318,0.7070063694267515,157,111,1.7,3,1106,2,0,0,2,1,0,0,1,1,1,1,1,1.0,0.7070063694267515,1.7,1.5,,
408,372.17905663895124,408,0.7371428571428571,175,129,1.5,3,1110,2,1,0,1,0,0,1,0,0,0,0,1,1.0,0.0,1.5,1.3,,
432,1761.3764723354318,432,0.6261261261261262,222,139,5.5,1,1882,8,2,1,5,1,0,0,1,1,0,1,1,0.8333333333333334,0.6261261261261262,5.5,4.1,,
12,6238.997756591493,12,0.37362637362637363,91,34,3.1,1,2058,4,0,2,2,1,0,0,1,1,1,1,1,0.5,0.37362637362637363,3.0999999999999996,2.5,,
403,3729.9108216864342,403,0.5394736842105263,228,123,2.7,1,2294,4,2,2,0,1,0,1,0,0,0,0,1,0.0,0.5394736842105263,2.7,2.1,,
16,1616.0685622531275,16,0.7553191489361702,94,71,2.7,1,2146,4,2,2,0,1,0,0,1,1,0,0,1,0.0,0.7553191489361702,2.7,2.1,,
446,2811.1416404031684,446,0.4521276595744681,188,85,3.2,1,2294,5,3,2,0,0,0,1,0,0,0,1,1,0.0,0.0,3.2,2.4,,
