menage,assaini,revenu_net_mois,c_m3_trim_1,c_m3_trim_2,c_ibt,c_ibt_pp,c_tbse,consom_nordin_trim,consom_taylor_trim,c_captive_jour,c_nordin_jour,c_taylor_jour,ln_c_captive_jour,ln_c_nordin_jour,ln_c_taylor_jour,sur_consommation_pct
1,0,226.88,14.971375149653138,13.534350885107655,21.53931805619997,19.994084678522395,24.072555130207355,19.994084678522395,22.92428489367148,0.16634861277392377,0.2221564964280266,0.25471427659634976,2.706140054576903,-1.504373206597566,-1.3676128459710306,13.67603606265353
2,0,840.21,15.279185355240434,13.534350885107655,29.84595152586512,28.340031258031424,34.54340040592057,28.340031258031424,31.06254240393463,0.16976872616933816,0.31488923620034914,0.3451393600437181,2.726491467869493,-1.1555343331032217,-1.0638070013577416,9.172733174548009
3,0,1756.37,16.401066255290022,13.534350885107655,35.77986191125861,32.48315417963113,44.69800491265994,32.48315417963113,39.03364132983195,0.18223406950322246,0.3609239353292348,0.4337071258870217,2.797346348283197,-1.0190880483099536,-0.8353857978238196,18.3702250486134
7,0,6463.65,18.446576681729365,12.091712698482599,53.63111886102195,50.559946530378596,69.74638675284955,50.559946530378596,56.18197003860884,0.20496196313032627,0.5617771836708733,0.6242441115400982,2.914878807565077,-0.5766499780401141,-0.47121378272201336,10.543619531810073
8,0,10383.06,15.28087352012928,12.091712698482599,50.25497801609474,47.14656573293266,65.06054843857098,47.14656573293266,52.888930515257364,0.169787483556992,0.5238507303659184,0.5876547835028596,2.7266019496521,-0.6465485009569356,-0.5316156063821887,11.493289457474686
9,0,6181.21,15.401168665680244,12.091712698482599,44.90778591666941,41.74452675947335,57.58325081738789,41.74452675947335,47.69773287112265,0.17112409628533604,0.4638280751052595,0.5299748096791406,2.734443393922116,-0.768241323208654,-0.6349258024727857,13.331552073586828
10,0,1386.25,18.821713625663847,16.86483970153737,38.37302039768466,35.14658830372807,48.31860203550515,35.14658830372807,41.42897402185862,0.20913015139626495,0.39051764781920084,0.46032193357620693,2.935011183448032,-0.9402821178446884,-0.7758291786832746,16.44529391614138
11,0,1468.35,20.373859921700756,16.86483970153737,41.758691475996116,38.593061080640865,53.06965458840838,38.593061080640865,44.63450935226012,0.22637622135223062,0.4288117897848985,0.4959389928028902,3.014252702798247,-0.846737174769336,-0.7013023582034005,14.54348165659355
12,0,6239.0,19.365104744461668,16.86483970153737,55.66461279756949,52.61078596539844,72.57304447451008,52.61078596539844,58.17467209313448,0.21516783049401852,0.5845642885044271,0.646385245479272,2.9634727219095707,-0.5368885152313898,-0.43635959771758054,10.052891751380926
13,0,3087.86,12.840314111094681,9.70382674009389,32.950199571807346,30.0,40.33496144552179,30.0,35.97852811555621,0.1426701567899409,0.3333333333333333,0.3997614235061801,2.552589761443483,-1.0986122886681098,-0.916887351050536,18.17249376175738
14,0,2364.38,12.246439591162636,9.70382674009389,30.850618549357996,29.428187801170232,35.971417821771674,29.428187801170232,32.15709417791497,0.13607155101291818,0.32697986445744703,0.35730104642127747,2.5052352491257355,-1.11785668656353,-1.0291765852661086,8.868010129742142
15,0,6052.22,11.513935137151512,9.70382674009389,34.40416562694271,31.044383432960156,42.82236677021514,31.044383432960156,37.8107574113756,0.1279326126350168,0.3449375936995573,0.4201195267930622,2.443558052848095,-1.0643917661403237,-0.8672160205895645,19.717574555075924
16,0,1616.07,17.898180305602338,13.534350885107655,37.964330418748254,34.72150673416695,47.76380307866297,34.72150673416695,41.054595904883264,0.1988686700622482,0.38579451926852165,0.4561621767209252,2.8846990487741953,-0.9524503847583278,-0.7849068819926881,16.75435027656397
17,0,4208.71,17.52667689732007,13.534350885107655,46.29842554274895,43.15990577919028,59.50849305253522,43.15990577919028,49.03385136740825,0.19474085441466743,0.4795545086576698,0.5448205707489806,2.863724114352744,-0.7348977130013266,-0.6072987665098455,12.759894649148107
18,0,3975.7,17.62849589978094,13.534350885107655,45.939806801156706,42.79808150898994,59.00466590349995,42.79808150898994,48.685956642741736,0.19587217666423268,0.4755342389887771,0.5409550738082415,2.8695166779535266,-0.7433163933034742,-0.6144190464522206,12.889734685125365
22,0,7820.79,20.972896550300394,16.86483970153737,63.1969657712164,60.0,83.17719628769856,60.0,65.71769492182739,0.2330321838922266,0.6666666666666666,0.7301966102425266,3.0432309636678125,-0.40546510810816444,-0.31444145200291973,9.10236561052447
23,0,17616.7,20.16870332453998,16.86483970153737,70.26554132485005,61.9208616340598,98.02030909001515,61.9208616340598,76.658283510162,0.2240967036059998,0.6880095737117755,0.8517587056684666,3.004132062568911,-0.3739525258668665,-0.16045200157346276,21.350052429340373
24,0,7899.18,20.33338122236648,16.86483970153737,61.61964259928809,58.59384015425534,80.84264614675591,58.59384015425534,64.02715960763757,0.2259264580262942,0.6510426683806149,0.7114128845293064,3.0122639307007795,-0.4291800960940397,-0.3405023081202581,8.867778797378156
25,0,2662.42,29.849222682711467,21.014884317171944,66.27545276996005,60.0,90.33442173000304,60.0,71.41544721621175,0.3316580298079052,0.6666666666666666,0.7935049690690194,3.396158798719359,-0.40546510810816444,-0.23129547681849533,17.416963128966913
26,0,1757.11,27.87628753230375,21.014884317171944,58.202344436354146,55.216201314119864,75.97961677096914,55.216201314119864,60.62609280774774,0.3097365281367083,0.6135133479346652,0.6736232534194193,3.3277764182132668,-0.48855325804313243,-0.39508429554027064,9.34689625028618
27,0,1829.62,25.5992818152743,21.014884317171944,54.24162215364808,51.21890203655203,70.48877435249243,51.21890203655203,56.741981558132714,0.2844364646141589,0.5690989115172448,0.6304664617570301,3.2425642970011457,-0.5637010260137127,-0.46129531808152896,10.240570793218378
28,0,498.93,24.723855045935267,18.304438453658378,38.965859902038694,35.8505883203755,48.90373420581808,35.8505883203755,41.883448273454,0.27470950051039184,0.39833987022639444,0.4653716474828222,3.2077685688909576,-0.9204496928090931,-0.7649189507199645,15.553074208912854
29,0,2805.74,22.67458497160159,18.304438453658378,53.51612054158755,50.465917459597826,69.53218313970957,50.465917459597826,56.05002415571693,0.25193983301779543,0.5607324162177536,0.6227780461746326,3.121244692486463,-0.578511463687829,-0.4735650898448931,10.494637384293593
30,0,3141.46,19.557131238073605,15.067201826527109,47.88335874327723,44.771514779965045,61.700565157081876,44.771514779965045,50.56218588679061,0.21730145820081784,0.49746127533294493,0.5618020654087845,2.973339989130186,-0.6982375639398087,-0.5766056879058209,12.163187603398784
31,0,911.61,20.86934188484304,15.067201826527109,38.318739657331946,35.119584801354314,48.17183448722835,35.119584801354314,41.34836299583084,0.23188157649825597,0.3902176089039368,0.45942625550923155,3.038281186564256,-0.9410507239181329,-0.7777768386205085,16.327388529762445
32,0,3258.41,19.374480870260353,15.067201826527109,47.87259161012402,44.75951920373285,61.68827922511698,44.75951920373285,50.552756683578316,0.21527200966955948,0.49732799115258725,0.5616972964842035,2.9639567810874365,-0.6985055285945263,-0.5767921925509294,12.171333604359692
33,0,510.07,30.531389382123315,25.52999959934083,47.47239030207525,44.512954103150655,60.736290509589345,44.512954103150655,50.0184009827299,0.33923765980137016,0.4945883789238962,0.5557600109192211,3.4187553144608303,-0.7040294200788686,-0.587418712950144,11.661070712872457
