id_projet,menage,assaini,menages_pauvres,consommation_eau_m3_trimestre,c_tbse_a_ht_qb_m3_trim,c_tbse_a_ht_i1,c_tbse_a_ht_i2,c_tbse_a_ht_t1,c_tbse_a_ht_t2,c_tbse_a_ht_t1_t2_eur_trim,c_tbse_a_redev_qb_m3_trim,c_tbse_a_redev_i1,c_tbse_a_redev_i2,c_tbse_a_redev_t1,c_tbse_a_redev_t2,c_tbse_a_redev_t1_t2_eur_trim,c_tbse_a_ttc_qb_m3_trim,c_tbse_a_ttc_i1,c_tbse_a_ttc_i2,c_tbse_a_ttc_t1,c_tbse_a_ttc_t2,c_tbse_a_ttc_t1_t2_eur_trim,diff_quantile_ref,c_ibt_a_ht_c_ht_pp,c_ibt_a_ht_surco,c_ibt_a_ht_c_ht_surco,c_ibt_a_ht_pp_i1,c_ibt_a_ht_pp_i2,c_ibt_a_ht_pp_t1,c_ibt_a_ht_pp_t2,c_ibt_a_ht_pp_t1_t2_eur_trim,c_ibt_a_ht_mp_i1,c_ibt_a_ht_mp_i2,c_ibt_a_ht_mp_t1,c_ibt_a_ht_mp_t2,c_ibt_a_ht_mp_t1_t2_eur_trim,c_ibt_a_redev_conso_red_ht,c_ibt_a_redev_surconso,c_ibt_a_redev_conso_surpercept,c_ibt_a_redev_pp_i1,c_ibt_a_redev_pp_i2,c_ibt_a_redev_pp_t1,c_ibt_a_redev_pp_t2,c_ibt_a_redev_pp_t1_t2_eur_trim,c_ibt_a_redev_mp_i1,c_ibt_a_redev_mp_i2,c_ibt_a_redev_mp_t1,c_ibt_a_redev_mp_t2,c_ibt_a_redev_mp_t1_t2_eur_trim,c_ibt_a_ttc_c_finale_ttc,c_ibt_a_ttc_surco,c_ibt_a_ttc_c_surpercept,c_ibt_a_ttc_d_ibt_a,c_ibt_a_ttc_cout_env_non_recup,c_ibt_a_ttc_recup_1,c_ibt_a_ttc_non_recup_1,c_ibt_a_ttc_pp_i1,c_ibt_a_ttc_pp_i2,c_ibt_a_ttc_pp_t1,c_ibt_a_ttc_pp_t2,c_ibt_a_ttc_pp_t1_t2_eur_trim,c_ibt_a_ttc_mp_i1,c_ibt_a_ttc_mp_i2,c_ibt_a_ttc_mp_t1,c_ibt_a_ttc_mp_t2,c_ibt_a_ttc_mp_t1_t2_eur_trim,sous_opt,sur_opt,opt_egal,surconso_menages,sous_conso_menages,ecart_ibt_moins,ecart_ibt_plus,sous_conso_spl_agreg_ibt_neg,sous_conso_spl_brut_ibt_neg,sous_conso_cout_ibt_neg,surconso_approx_spl_agreg_ibt_pos,surconso_approx_spl_brut_ibt_pos,surconso_approx_cout_ibt_pos
1,1,0,1,14.320767997642463,25.65164699408843,27.588224864257064,66.8521860790312,27.588224864257064,-66.8521860790312,-39.263961214774135,24.67541010723644,26.652637669246204,61.09238844660448,26.652637669246204,-61.09238844660448,-34.43975077735828,24.51694762951117,26.48931650954657,60.157459828025374,26.48931650954657,-60.157459828025374,-33.668143318478805,0,20.55465049612317,1.545233377677576,22.099883873800746,20.977802849787242,36.77990674103618,20.977802849787242,-36.77990674103618,-15.802103891248937,23.508135610788433,45.89678366933388,23.508135610788433,-45.89678366933388,-22.388648058545446,20.15578687361065,1.545233377677576,21.701020251288227,20.220691097410217,34.42661136821233,20.220691097410217,-34.42661136821233,-14.20592027080211,22.910220332925512,43.54348829651002,22.910220332925512,-43.54348829651002,-20.633267963584508,20.02634886570665,1.545233377677576,21.571582243384228,0,105.26932134771504,0,0,19.964471645764213,33.662927121578726,19.964471645764213,-33.662927121578726,-13.698455475814512,22.708474655083112,42.779804049876425,22.708474655083112,-42.779804049876425,-20.071329394793313,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1,2,0,1,20.274620026095555,36.3163062158605,39.058015352903865,94.64594851961321,39.058015352903865,-94.64594851961321,-55.58793316670935,34.93419933865665,37.733458256297844,86.49151794411043,37.733458256297844,-86.49151794411043,-48.75805968781258,34.70985616622327,37.50223640732462,85.1678932267535,37.50223640732462,-85.1678932267535,-47.66565681942889,0,29.100236010156625,1.505920267833698,30.606156277990323,29.699313740142852,52.07113430596032,29.699313740142852,-52.07113430596032,-22.37182056581747,32.25332878734641,60.95606388617915,32.25332878734641,-60.95606388617915,-28.70273509883274,28.535545038973748,1.505920267833698,30.041465306807446,28.627433160884618,48.73945757598134,28.627433160884618,-48.73945757598134,-20.112024415096723,31.34388207597009,57.624387156200164,31.34388207597009,-57.624387156200164,-26.280505080230075,28.352293244962397,1.505920267833698,29.858213512796095,0,145.70808194244495,0,0,28.26469060222628,47.658271991314365,28.26469060222628,-47.658271991314365,-19.393581389088084,31.03675145869402,56.5432015715332,31.03675145869402,-56.5432015715332,-25.506450112839183,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1,3,0,0,26.168669867150392,46.87384655959009,50.41259999549624,122.16054248539422,50.41259999549624,-122.16054248539422,-71.74794248989798,45.08994636594334,48.70297992189383,111.63553134287842,48.70297992189383,-111.63553134287842,-62.932551420984595,44.8003842232841,48.40453939753065,109.92711470118886,48.40453939753065,-109.92711470118886,-61.52257530365821,0,33.088287099700544,3.296707731627478,36.38499483132802,28.217535931169564,40.825741672045886,28.217535931169564,-40.825741672045886,-12.608205740876322,36.05837648123585,60.27631728864801,36.05837648123585,-60.27631728864801,-24.217940807412162,32.655823750106265,3.296707731627478,35.95253148173374,26.994770000033196,38.27420790943963,26.994770000033196,-38.27420790943963,-11.279437909406436,35.16003178680451,57.72478352604178,35.16003178680451,-57.72478352604178,-22.564751739237273,32.44611202814854,3.296707731627478,35.74281975977602,0,174.42496042770696,0,0,26.38279210398469,37.03690874988906,26.38279210398469,-37.03690874988906,-10.654116645904367,34.71171807493373,56.48748436649121,34.71171807493373,-56.48748436649121,-21.77576629155748,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1,7,0,0,40.76531496896816,73.01965015835374,78.53228794791602,190.3005776173749,78.53228794791602,-190.3005776173749,-111.76828966945888,70.24070672575306,75.86905740805743,173.90481136503092,75.86905740805743,-173.90481136503092,-98.0357539569735,69.78962946395418,75.40414948431,171.24345552041748,75.40414948431,-171.24345552041748,-95.83930603610749,0,51.54463150976428,3.071172330643357,54.61580384040764,43.95701981499163,63.59796759069707,43.95701981499163,-63.59796759069707,-19.640947775705435,51.70466563015429,81.71788434149289,51.70466563015429,-81.71788434149289,-30.013218711338602,50.870944052654494,3.071172330643357,53.94211638329785,42.052206212727874,59.62321159374936,42.052206212727874,-59.62321159374936,-17.571005381021486,50.126148179011,77.74312834454513,50.126148179011,-77.74312834454513,-27.61698016553413,50.544257047098164,3.071172330643357,53.61542937774152,0,261.6432953633786,0,0,41.09887263432615,57.695758260967,41.09887263432615,-57.695758260967,-16.596885626640848,49.33753566497637,75.81567501176278,49.33753566497637,-75.81567501176278,-26.478139346786406,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1,8,0,0,38.01763394205966,68.09794876872054,73.23902141094788,177.47385747729922,73.23902141094788,-177.47385747729922,-104.23483606635133,65.50631285846875,70.75529906402791,162.18320560681363,70.75529906402791,-162.18320560681363,-91.42790654278572,65.08563929733691,70.32172706108257,159.70123159613576,70.32172706108257,-159.70123159613576,-89.37950453505319,0,48.07039842347066,3.1084122831620817,51.17881070663274,40.994210146109246,59.311310440324874,40.994210146109246,-59.311310440324874,-18.317100294215628,48.77626883880221,77.65094291098119,48.77626883880221,-77.65094291098119,-28.874674072178976,47.44211913370549,3.1084122831620817,50.55053141686757,39.21778559710616,55.604462630710415,39.21778559710616,-55.604462630710415,-16.386677033604258,47.32682980013088,73.94409510136668,47.32682980013088,-73.94409510136668,-26.617265301235804,47.13745162407574,3.1084122831620817,50.24586390723782,0,245.19981586732055,0,0,38.32870901236885,53.80692432389487,38.32870901236885,-53.80692432389487,-15.478215311526021,46.6028075039255,72.14655679455113,46.6028075039255,-72.14655679455113,-25.543749290625634,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1,9,0,0,33.65717139987981,60.28740076728956,64.83881402363242,157.11835326771757,64.83881402363242,-157.11835326771757,-92.27953924408514,57.993014584015626,62.63996417233974,143.58147478640134,62.63996417233974,-143.58147478640134,-80.9415106140616,57.62059050912473,62.25612105260323,141.38417274454505,62.25612105260323,-141.38417274454505,-79.12805169194183,0,42.556926121836696,3.163259157196059,45.720185279032755,36.29234684602107,52.50855285954566,36.29234684602107,-52.50855285954566,-16.21620601352459,44.09866851729949,71.17178188700242,44.09866851729949,-71.17178188700242,-27.073113369702938,42.000707821275206,3.163259157196059,45.163966978471265,34.719670713259255,49.22686488623288,34.719670713259255,-49.22686488623288,-14.507194172973627,42.852571599045795,67.89009391368961,42.852571599045795,-67.89009391368961,-25.037522314643816,41.73098439221566,3.163259157196059,44.89424354941172,0,219.0839085211292,0,0,33.93256746938755,47.63549665478157,33.93256746938755,-47.63549665478157,-13.70292918539402,42.23029002179725,66.29872568223828,42.23029002179725,-66.29872568223828,-24.068435660441033,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1,10,0,1,28.305779146250934,50.70187958297981,54.52963138382839,132.13699257670038,54.52963138382839,-132.13699257670038,-77.60736119287199,48.772294122325384,52.68039225654155,120.75243835883927,52.68039225654155,-120.75243835883927,-68.07204610229772,48.459084390961976,52.35757907521437,118.90450094379517,52.35757907521437,-118.90450094379517,-66.5469218685808,0,35.79049878066487,3.226432093956589,39.01693087462146,30.52196936924644,44.159845843042234,30.52196936924644,-44.159845843042234,-13.637876473795792,38.30164061552265,63.19579519738609,38.30164061552265,-63.19579519738609,-24.89415458186344,35.322717570362315,3.226432093956589,38.549149664318904,29.19934416246231,41.399936702257165,29.19934416246231,-41.399936702257165,-12.200592539794854,37.30222150979987,60.43588605660103,37.30222150979987,-60.43588605660103,-23.133664546801157,35.095879381174605,3.226432093956589,38.322311475131194,0,187.01287999864022,0,0,28.537388042572495,40.061591386049685,28.537388042572495,-40.061591386049685,-11.52420334347719,36.803341566309996,59.09754074039354,36.803341566309996,-59.09754074039354,-22.294199174083545,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1,11,0,1,31.083955280941723,55.678204421579316,59.8816451814808,145.1060699297618,59.8816451814808,-145.1060699297618,-85.224424748281,53.559232608090774,57.850905591542144,132.60413623017942,57.850905591542144,-132.60413623017942,-74.75323063863728,53.21528174092146,57.49640870803904,130.57482611388048,57.49640870803904,-130.57482611388048,-73.07841740584144,0,39.30329060481406,3.165630395355251,42.46892100016931,33.51766174878775,48.49407841084678,33.51766174878775,-48.49407841084678,-14.97641666205903,41.2586024777602,67.17129774344275,41.2586024777602,-67.17129774344275,-25.91269526568255,38.78959726511896,3.165630395355251,41.95522766047421,32.06522256424156,45.463287706645666,32.06522256424156,-45.463287706645666,-13.398065142404107,40.12911492415684,64.14050703924167,40.12911492415684,-64.14050703924167,-24.01139211508483,38.54049519687031,3.165630395355251,41.70612559222556,0,203.52589289006073,0,0,31.338296295146943,43.99358550397866,31.338296295146943,-43.99358550397866,-12.655289208831714,39.565162375694236,62.670804836574646,39.565162375694236,-62.670804836574646,-23.10564246088041,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1,12,0,0,42.41838792651348,75.98066761003,81.71684819477503,198.01745013274746,81.71684819477503,-198.01745013274746,-116.30060193797243,73.08903533294284,78.94562108016898,180.95681969793324,78.94562108016898,-180.95681969793324,-102.01119861776426,72.61966645181485,78.46186069037091,178.18754329927813,78.46186069037091,-178.18754329927813,-99.72568260890722,0,53.634816180734965,3.0538268321710476,56.68864301290601,45.73951949163487,66.17692669990674,45.73951949163487,-66.17692669990674,-20.43740720827187,53.47417077902142,84.19450500971593,53.47417077902142,-84.19450500971593,-30.720334230694505,52.933810045527565,3.0538268321710476,55.98763687769861,43.75746385512064,62.04099050218309,43.75746385512064,-62.04099050218309,-18.283526647062452,51.81826082594721,80.05856881199227,51.81826082594721,-80.05856881199227,-28.24030798604506,52.593875565865424,3.0538268321710476,55.64770239803647,0,271.560787702418,0,0,42.76547167787878,60.03537707217645,42.76547167787878,-60.03537707217645,-17.269905394297673,50.99092150838662,78.05295538198563,50.99092150838662,-78.05295538198563,-27.062033873599006,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1,13,0,0,23.59095982958538,42.2566006166615,45.44677384965665,110.12728064374912,45.44677384965665,-110.12728064374912,-64.68050679409247,40.64842114013649,43.905557628696364,100.63902173225158,43.905557628696364,-100.63902173225158,-56.733464103555214,40.38738193140628,43.636514591449355,99.09889040074333,43.636514591449355,-99.09889040074333,-55.462375809293974,0,30.0,2.950199571807346,32.950199571807346,25.907074876345177,37.81333700544626,25.907074876345177,-37.81333700544626,-11.90626212910108,32.80840118707989,55.219514479109606,32.80840118707989,-55.219514479109606,-22.411113292029718,30.0,2.950199571807346,32.950199571807346,25.907074876345177,37.81333700544626,25.907074876345177,-37.81333700544626,-11.90626212910108,32.80840118707989,55.219514479109606,32.80840118707989,-55.219514479109606,-22.411113292029718,30.0,2.950199571807346,32.950199571807346,0,160.79697391041984,0,0,25.907074876345177,37.81333700544626,25.907074876345177,-37.81333700544626,-11.90626212910108,32.80840118707989,55.219514479109606,32.80840118707989,-55.219514479109606,-22.411113292029718,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
