i_new,Revenu_Imputé_2,Unnamed: 2,Freq Nombre de Jours sans pluie,nbjour,nbjsp,uc1,revenu,Revenu imputé,nbpers,nenf,naa (Nombre d'adultes actifs),nana (Nombre d'adultes non actifs),jardin (1 = oui),Piscine (1 = oui),Assainissement Collectif (1 = oui),NonAssaini,maison (1 = oui),retraité (1 = oui),proprio (1 = oui),id_projet
52,355.28934165992405,52,0.3832599118942731,227,142,2.7,3,1093,4,2,1,1,1,0,0,1,1,0,1,1
53,3737.7794077204635,53,0.13545816733067728,251,34,2.7,1,2146,4,2,2,0,1,0,0,1,1,0,1,1
54,1436.5729864538735,54,0.1597222222222222,144,23,2.7,1,2146,4,2,2,0,1,0,0,1,1,0,1,1
55,5414.6176221831965,55,0.12637362637362637,182,23,2.7,1,2146,4,2,2,0,1,0,0,1,1,0,1,1
56,829.3500056791179,56,0.47641509433962265,212,101,3.6,4,426,5,1,0,4,1,0,0,1,1,0,1,1
57,467.85521705975236,57,0.4460093896713615,213,95,3.6,4,426,5,1,0,4,1,0,0,1,1,0,1,1
58,292.8204949972902,58,0.6209150326797386,153,95,3.6,4,426,5,1,0,4,1,0,0,1,1,0,1,1
59,965.9598110418174,59,0.8453038674033149,181,153,2.9,4,560,4,1,1,2,0,0,1,0,0,1,0,1
60,835.7568920735862,60,0.7747252747252747,182,141,2.9,4,560,4,1,1,2,0,0,1,0,0,1,0,1
61,622.6057555087385,61,0.5657142857142857,175,99,3.2,4,564,5,3,1,1,1,0,0,1,1,0,1,1
62,865.0315713657126,62,0.657608695652174,184,121,1.0,3,1106,1,0,0,1,1,0,0,1,1,1,1,1
63,1159.829765867193,63,0.8181818181818182,187,153,2.2,4,560,3,1,0,2,1,0,1,0,1,1,0,1
64,649.2019436207179,64,0.8288770053475936,187,155,2.2,4,560,3,1,0,2,1,0,1,0,1,1,0,1
65,707.9175476588275,65,0.6808510638297872,47,32,1.0,4,426,3,2,0,1,1,0,1,0,0,0,0,1
66,792.3817675438847,66,0.7722222222222223,180,139,1.0,4,426,3,2,0,1,1,0,1,0,0,0,0,1
67,856.3341771002073,67,0.8901098901098901,91,81,1.0,4,426,3,2,0,1,1,0,1,0,0,0,0,1
68,4852.73664490369,68,0.10989010989010989,182,20,1.7,2,3564,2,0,1,1,1,0,1,0,1,1,0,1
69,983.6662181098368,69,0.9060773480662984,181,164,1.7,2,3564,2,0,1,1,1,0,1,0,1,1,0,1
70,2644.53294845222,70,0.14754098360655737,183,27,1.7,2,3564,2,0,1,1,1,0,1,0,1,1,0,1
71,460.358114319144,71,0.7314285714285714,175,128,2.0,4,426,3,2,0,1,0,0,1,0,0,0,0,1
72,373.1602551812497,72,0.6559139784946236,186,122,2.0,4,426,3,2,0,1,0,0,1,0,0,0,0,1
73,1592.1766889830883,73,0.7784090909090909,176,137,2.0,4,426,3,2,0,1,0,0,1,0,0,0,0,1
74,8623.950440620793,74,0.7393617021276596,376,278,3.6,2,3569,5,1,2,2,1,0,0,1,1,0,1,1
75,6077.767437888555,75,0.7944444444444444,180,143,3.6,2,3569,5,1,2,2,1,0,0,1,1,0,1,1
76,3077.1990486234727,76,0.6809815950920245,163,111,3.6,2,3569,5,1,2,2,1,0,0,1,1,0,1,1
