i_new,Revenu_Imputé_2,Unnamed: 2,Freq Nombre de Jours sans pluie,nbjour,nbjsp,uc1,revenu,Revenu imputé,nbpers,nenf,naa (Nombre d'adultes actifs),nana (Nombre d'adultes non actifs),jardin (1 = oui),Piscine (1 = oui),Assainissement Collectif (1 = oui),NonAssaini,maison (1 = oui),retraité (1 = oui),proprio (1 = oui),id_projet
219,726.32043397951,219,0.36065573770491804,61,22,2.7,3,1093,4,2,1,1,1,0,0,1,1,0,1,1
220,324.5676746650345,220,0.16393442622950818,61,10,2.7,3,1093,4,2,1,1,1,0,0,1,1,0,1,1
221,3608.1655937075648,221,0.10480349344978165,229,24,1.7,1,2187,2,0,2,0,1,0,0,1,1,0,1,1
222,3450.1582883802184,222,0.26262626262626265,198,52,1.7,1,2187,2,0,2,0,1,0,0,1,1,0,1,1
223,674.9828745990458,223,0.38922155688622756,167,65,1.7,1,2187,2,0,2,0,1,0,0,1,1,0,1,1
224,7498.831514796919,224,0.8134715025906736,193,157,3.8,2,3640,5,0,3,2,1,0,1,0,1,0,0,1
225,4756.287324669649,225,0.7470588235294118,170,127,3.8,2,3640,5,0,3,2,1,0,1,0,1,0,0,1
226,2145.5526410417488,226,0.5837837837837838,185,108,3.8,2,3640,5,0,3,2,1,0,1,0,1,0,0,1
227,3496.9014201030127,227,0.2925170068027211,147,43,3.7,3,1093,6,4,0,2,1,0,0,1,1,0,0,1
228,1099.712776447346,228,0.5737704918032787,61,35,3.7,3,1093,6,4,0,2,1,0,0,1,1,0,0,1
229,1382.991178486116,229,0.34545454545454546,55,19,3.7,3,1093,6,4,0,2,1,0,0,1,1,0,0,1
230,6404.733814770545,230,0.4811320754716981,212,102,2.4,2,3705,3,0,2,1,1,0,1,0,1,0,1,1
231,4138.327993758795,231,0.6556603773584906,212,139,2.4,2,3705,3,0,2,1,1,0,1,0,1,0,1,1
232,5176.561869061719,232,0.7581699346405228,153,116,2.4,2,3705,3,0,2,1,1,0,1,0,1,0,1,1
233,566.7129965609338,233,0.3046875,128,39,1.7,4,560,2,0,0,2,1,0,0,1,1,1,1,1
234,805.2152381234723,234,0.5081967213114754,61,31,1.7,4,560,2,0,0,2,1,0,0,1,1,1,1,1
235,709.3653503321359,235,0.21311475409836064,61,13,1.5,4,426,2,1,0,1,1,0,0,1,1,0,0,1
236,578.9056636980274,236,0.17721518987341772,79,14,1.5,4,426,2,1,0,1,1,0,0,1,1,0,0,1
237,295.57860188354596,237,0.19886363636363635,176,35,1.0,4,560,1,0,0,1,1,0,0,1,1,1,0,1
238,861.5091195713148,238,0.3103448275862069,174,54,1.0,4,560,1,0,0,1,1,0,0,1,1,1,0,1
239,586.2961840123093,239,0.6460674157303371,178,115,2.9,4,564,4,1,1,2,0,0,1,0,0,0,0,1
240,1595.0028454603957,240,0.554945054945055,182,101,2.9,4,564,4,1,1,2,0,0,1,0,0,0,0,1
241,1056.1054145052326,241,0.8285714285714286,210,174,2.4,3,1106,3,0,0,3,1,0,0,1,1,1,0,1
242,230.8655425032972,242,0.7415730337078652,178,132,2.4,3,1106,3,0,0,3,1,0,0,1,1,1,0,1
243,1035.767127243513,243,0.7681159420289855,345,265,2.4,3,1106,3,0,0,3,1,0,0,1,1,1,0,1
244,1835.0198052408855,244,0.7569444444444444,144,109,1.7,2,3569,2,0,1,1,1,0,0,1,1,0,1,1
245,3955.9268826032203,245,0.4647887323943662,213,99,1.7,2,3569,2,0,1,1,1,0,0,1,1,0,1,1
246,1370.5062792713125,246,0.8260869565217391,138,114,1.7,2,3569,2,0,1,1,1,0,0,1,1,0,1,1
247,6260.858482342477,247,0.7650273224043715,183,140,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,1,1
248,2077.7592398057955,248,0.8626373626373627,182,157,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,1,1
249,5894.706503619498,249,0.4918032786885246,183,90,1.7,2,3564,2,0,0,2,1,0,0,1,1,1,1,1
250,4965.12378136459,250,0.6428571428571429,182,117,1.7,2,3564,2,0,0,2,1,0,0,1,1,1,1,1
251,5779.640318577447,251,0.6153846153846154,182,112,1.7,2,3564,2,0,0,2,1,0,0,1,1,1,1,1
252,972.1937081539318,252,0.4143646408839779,181,75,2.0,3,1003,3,2,0,1,1,0,0,1,1,0,0,1
253,1685.9482034841724,253,0.6303317535545023,211,133,2.0,3,1003,3,2,0,1,1,0,0,1,1,0,0,1
254,1090.3486418577506,254,0.7484276729559748,159,119,2.0,3,1003,3,2,0,1,1,0,0,1,1,0,0,1
255,2007.2314383018788,255,0.7857142857142857,168,132,1.7,3,1003,2,0,0,2,1,0,0,1,1,0,1,1
256,1303.4884614118757,256,0.7777777777777778,189,147,1.7,3,1003,2,0,0,2,1,0,0,1,1,0,1,1
257,245.85309208349645,257,0.4098360655737705,183,75,1.7,3,1003,2,0,0,2,1,0,0,1,1,0,1,1
258,1199.0946401285787,258,0.7619047619047619,84,64,2.4,3,1106,3,0,0,3,1,0,0,1,1,1,1,1
259,2208.7816669239814,259,0.4673913043478261,92,43,2.4,3,1106,3,0,0,3,1,0,0,1,1,1,1,1
260,597.5382343424591,260,0.7666666666666667,60,46,2.4,3,1106,3,0,0,3,1,0,0,1,1,1,1,1
261,6314.212076752066,261,0.19428571428571428,175,34,2.0,2,3705,3,2,1,0,1,0,0,1,1,0,0,1
262,4270.028687032398,262,0.3275862068965517,174,57,2.0,2,3705,3,2,1,0,1,0,0,1,1,0,0,1
263,1839.7874746133948,263,0.1,130,13,2.0,2,3705,3,2,1,0,1,0,0,1,1,0,0,1
264,2897.0889253479554,264,0.4146341463414634,82,34,2.7,2,3640,4,2,2,0,1,1,1,0,1,0,1,1
265,5826.078158747338,265,0.30612244897959184,98,30,2.7,2,3640,4,2,2,0,1,1,1,0,1,0,1,1
266,962.5850618464792,266,0.296875,128,38,2.7,2,3640,4,2,2,0,1,1,1,0,1,0,1,1
267,3400.172712341452,267,0.6063348416289592,221,134,3.4,3,1003,5,2,3,0,1,0,0,1,1,0,1,1
268,552.0400536971758,268,0.7847222222222222,144,113,3.4,3,1003,5,2,3,0,1,0,0,1,1,0,1,1
269,917.2126052863655,269,0.5384615384615384,182,98,3.4,3,1003,5,2,3,0,1,0,0,1,1,0,1,1
270,3964.2083100190634,270,0.515,200,103,2.7,2,3705,4,2,1,1,0,0,1,0,1,0,1,1
271,8344.687049499411,271,0.7616279069767442,172,131,2.7,2,3705,4,2,1,1,0,0,1,0,1,0,1,1
272,3375.6333244236325,272,0.4861111111111111,72,35,2.7,2,3705,4,2,1,1,0,0,1,0,1,0,1,1
273,596.0341314971,273,0.5138121546961326,181,93,1.0,4,426,1,0,0,1,1,0,1,0,0,0,0,1
274,1035.0896464540342,274,0.5862068965517241,174,102,1.0,4,426,1,0,0,1,1,0,1,0,0,0,0,1
275,1351.9916543683923,275,0.7085714285714285,175,124,3.1,3,1106,4,0,1,3,0,0,1,0,0,1,0,1
276,1793.3379636829775,276,0.6421052631578947,190,122,3.1,3,1106,4,0,1,3,0,0,1,0,0,1,0,1
277,1649.5481582454581,277,0.6502732240437158,183,119,3.1,3,1106,4,0,1,3,0,0,1,0,0,1,0,1
278,1641.0381644417962,278,0.4666666666666667,210,98,1.7,1,2187,2,0,2,0,1,0,0,1,1,0,1,1
279,1132.054562274336,279,0.7569444444444444,144,109,1.7,1,2187,2,0,2,0,1,0,0,1,1,0,1,1
280,3250.3867459890116,280,0.8297872340425532,141,117,1.7,1,2187,2,0,2,0,1,0,0,1,1,0,1,1
281,2113.22511700258,281,0.2231404958677686,121,27,3.6,2,3569,5,1,1,3,0,0,1,0,0,0,1,1
282,5846.587335877641,282,0.2079207920792079,101,21,3.6,2,3569,5,1,1,3,0,0,1,0,0,0,1,1
283,2796.673931867689,283,0.18041237113402062,194,35,3.4,5,1587,5,2,0,3,1,0,1,0,1,1,1,1
284,2528.553706787763,284,0.8245614035087719,171,141,3.4,5,1587,5,2,0,3,1,0,1,0,1,1,1,1
285,3362.3577223449083,285,0.2962962962962963,189,56,3.4,5,1587,5,2,0,3,1,0,1,0,1,1,1,1
286,363.3415721415361,286,0.6046511627906976,172,104,2.2,4,426,3,1,0,2,1,0,1,0,1,0,1,1
287,808.5232957154401,287,0.1878453038674033,181,34,2.4,4,593,3,0,2,1,1,0,0,1,1,0,1,1
288,1223.0649810716377,288,0.3241758241758242,182,59,2.4,4,593,3,0,2,1,1,0,0,1,1,0,1,1
289,765.4509154545281,289,0.2972972972972973,185,55,2.4,4,593,3,0,2,1,1,0,0,1,1,0,1,1
290,3241.602567106255,290,0.7071823204419889,181,128,3.8,6,1587,5,0,0,5,1,0,1,0,1,1,1,1
291,2278.9276210455178,291,0.9135135135135135,185,169,3.8,6,1587,5,0,0,5,1,0,1,0,1,1,1,1
292,1233.1783823591284,292,0.6987951807228916,166,116,3.8,6,1587,5,0,0,5,1,0,1,0,1,1,1,1
293,326.28569411977895,293,0.6703296703296703,182,122,2.2,4,426,3,1,0,2,1,0,0,1,1,0,1,1
294,3497.551693202394,294,0.6882352941176471,170,117,1.0,1,2294,1,0,1,0,1,0,0,1,1,0,1,1
295,2468.39887583749,295,0.7754010695187166,187,145,1.0,1,2294,1,0,1,0,1,0,0,1,1,0,1,1
296,6502.632234153196,296,0.5691489361702128,188,107,1.7,5,4603,2,0,2,0,1,0,0,1,1,0,0,1
297,1742.767618203423,297,0.43956043956043955,182,80,1.7,5,4603,2,0,2,0,1,0,0,1,1,0,0,1
298,1850.33925434941,298,0.519774011299435,177,92,1.7,5,4603,2,0,2,0,1,0,0,1,1,0,0,1
299,1837.7512680680552,299,0.17647058823529413,187,33,1.0,3,1106,1,0,0,1,1,0,0,1,1,1,0,1
300,2292.162428996067,300,0.23497267759562843,183,43,1.0,3,1106,1,0,0,1,1,0,0,1,1,1,0,1
301,400.9188563621823,301,0.2857142857142857,175,50,1.0,3,1106,1,0,0,1,1,0,0,1,1,1,0,1
302,582.9561452586037,302,0.5773195876288659,194,112,1.0,4,426,1,0,0,1,1,0,0,1,1,0,1,1
303,304.1192206347952,303,0.4943820224719101,178,88,1.0,4,426,1,0,0,1,1,0,0,1,1,0,1,1
304,404.40485626224455,304,0.8208092485549133,173,142,1.0,4,426,1,0,0,1,1,0,0,1,1,0,1,1
305,1439.6378092716348,305,0.6265060240963856,83,52,1.0,4,560,1,0,0,1,1,0,0,1,1,1,1,1
306,1197.562906094102,306,0.9761904761904762,84,82,1.0,4,560,1,0,0,1,1,0,0,1,1,1,1,1
307,7544.837511750642,307,0.8913043478260869,184,164,1.7,7,5765,2,0,0,2,1,1,1,0,1,1,1,1
308,5870.168505377214,308,0.6298342541436464,181,114,1.7,7,5765,2,0,0,2,1,1,1,0,1,1,1,1
309,10906.94490954623,309,0.9212121212121213,165,152,1.7,7,5765,2,0,1,1,1,0,0,1,1,1,1,1
310,2723.584871948553,310,0.3112244897959184,196,61,1.7,7,5765,2,0,1,1,1,0,0,1,1,1,1,1
311,2546.987729623552,311,0.7329545454545454,176,129,1.7,7,5765,2,0,1,1,1,0,0,1,1,1,1,1
312,1951.3393690724436,312,0.6304347826086957,184,116,2.4,6,1419,3,0,2,1,1,0,1,0,1,0,0,1
313,2356.104169901068,313,0.5815217391304348,184,107,2.4,6,1419,3,0,2,1,1,0,1,0,1,0,0,1
314,1900.816414074767,314,0.6684491978609626,187,125,2.4,6,1419,3,0,2,1,1,0,1,0,1,0,0,1
315,4915.393401302679,315,0.7043010752688172,186,131,1.7,2,3705,2,0,1,1,1,0,0,1,1,0,0,1
316,3733.9295631475657,316,0.7431693989071039,183,136,1.7,2,3705,2,0,1,1,1,0,0,1,1,0,0,1
317,10740.477645122875,317,0.8011049723756906,181,145,1.7,2,3705,2,0,1,1,1,0,0,1,1,0,0,1
318,2378.2577510089745,318,0.7070063694267515,157,111,1.7,3,1106,2,0,0,2,1,0,0,1,1,1,1,1
319,622.5991382746109,319,0.7415730337078652,178,132,1.7,3,1106,2,0,0,2,1,0,0,1,1,1,1,1
320,879.6309061180638,320,0.5333333333333333,210,112,1.7,3,1106,2,0,0,2,1,0,0,1,1,1,1,1
321,319.96016504969595,321,0.9896907216494846,97,96,1.7,4,426,2,0,0,2,1,0,1,0,0,0,0,1
322,430.0550615982616,322,0.5714285714285714,91,52,1.7,4,426,2,0,0,2,1,0,1,0,0,0,0,1
323,737.5211938569707,323,0.8656716417910447,67,58,1.7,4,426,2,0,0,2,1,0,1,0,0,0,0,1
324,567.5023265487114,324,0.5714285714285714,210,120,2.5,3,1003,4,3,0,1,0,0,1,0,0,0,0,1
325,1348.701083824703,325,0.732484076433121,157,115,2.5,3,1003,4,3,0,1,0,0,1,0,0,0,0,1
326,1310.4833192236076,326,0.5053763440860215,186,94,2.5,3,1003,4,3,0,1,0,0,1,0,0,0,0,1
327,644.4155960535261,327,0.8125,176,143,2.2,3,1093,3,1,1,1,1,0,1,0,1,0,0,1
328,1820.4241550482304,328,0.7405405405405405,185,137,2.2,3,1093,3,1,1,1,1,0,1,0,1,0,0,1
329,1569.0668986884582,329,0.7333333333333333,165,121,2.2,3,1093,3,1,1,1,1,0,1,0,1,0,0,1
330,1032.171769051881,330,0.37777777777777777,180,68,3.4,3,1093,5,2,1,2,1,0,0,1,1,0,0,1
331,1969.2522798845575,331,0.5901639344262295,183,108,3.4,3,1093,5,2,1,2,1,0,0,1,1,0,0,1
332,1082.0523704033963,332,0.391304347826087,184,72,4.1,3,1093,6,2,0,4,1,0,0,1,1,0,1,1
333,1546.0630042147684,333,0.6444444444444445,180,116,4.1,3,1093,6,2,0,4,1,0,0,1,1,0,1,1
334,2386.3041656779415,334,0.4057142857142857,175,71,4.1,3,1093,6,2,0,4,1,0,0,1,1,0,1,1
335,1249.548988358813,335,0.7374301675977654,179,132,2.9,3,1093,4,1,2,1,1,0,1,0,1,0,1,1
336,465.22663506332924,336,0.7444444444444445,180,134,2.9,3,1093,4,1,2,1,1,0,0,1,1,0,1,1
337,1171.4366696539896,337,0.6927374301675978,179,124,2.9,3,1093,4,1,2,1,1,0,1,0,1,0,1,1
338,1559.919012321528,338,0.44623655913978494,186,83,1.7,1,2187,2,0,1,1,1,0,0,1,1,0,1,1
339,557.3857611346684,339,0.4117647058823529,187,77,1.7,1,2187,2,0,1,1,1,0,0,1,1,0,1,1
340,4033.9604264896298,340,0.5454545454545454,176,96,1.7,1,2187,2,0,1,1,1,0,0,1,1,0,1,1
341,8379.284026036616,341,0.7164948453608248,194,139,1.7,2,3564,2,0,0,2,1,0,0,1,1,1,1,1
342,4227.432439952631,342,0.7409326424870466,193,143,1.7,2,3564,2,0,0,2,1,0,0,1,1,1,1,1
343,7079.022344957351,343,0.9403973509933775,151,142,1.7,2,3564,2,0,0,2,1,0,0,1,1,1,1,1
344,472.83363581020035,344,0.572139303482587,201,115,3.1,3,1106,4,0,1,3,1,0,1,0,1,1,1,1
345,1916.067222284487,345,0.7204968944099379,161,116,3.1,3,1106,4,0,1,3,1,0,1,0,1,1,1,1
346,1393.508740178354,346,0.6888888888888889,180,124,3.1,3,1106,4,0,1,3,1,0,1,0,1,1,1,1
347,1749.3801017087958,347,0.6593406593406593,182,120,2.2,3,1217,3,1,1,1,0,1,1,0,0,0,0,1
348,481.1174022889959,348,0.7666666666666667,180,138,2.2,3,1217,3,1,1,1,0,1,1,0,0,0,0,1
349,1609.8067235370913,349,0.6724137931034483,174,117,2.2,3,1217,3,1,1,1,0,1,1,0,0,0,0,1
350,588.3158219543541,350,0.6815642458100558,179,122,2.4,3,1093,3,0,1,2,1,0,1,0,1,0,0,1
351,2522.4944993973413,351,0.7966101694915254,177,141,2.4,3,1093,3,0,1,2,1,0,1,0,1,0,0,1
352,1440.7090032470549,352,0.696969696969697,165,115,2.4,3,1093,3,0,1,2,1,0,1,0,1,0,0,1
353,4007.4801004475225,353,0.4426229508196721,183,81,2.7,1,2187,4,2,2,0,1,0,0,1,1,0,0,1
354,1217.9087389444958,354,0.52,175,91,2.7,1,2187,4,2,2,0,1,0,0,1,1,0,0,1
355,2752.726622887267,355,0.4708994708994709,189,89,1.7,1,2067,2,0,1,1,1,0,0,1,1,0,1,1
356,1648.0559692558204,356,0.6892655367231638,177,122,1.7,1,2067,2,0,1,1,1,0,0,1,1,0,1,1
357,1628.194884115319,357,0.5608465608465608,189,106,1.7,1,2067,2,0,1,1,1,0,0,1,1,0,1,1
358,7928.991604225052,358,0.5675675675675675,185,105,3.1,7,7374,4,0,2,2,1,1,1,0,1,0,1,1
359,22365.185055534963,359,0.6428571428571429,182,117,3.1,7,7374,4,0,2,2,1,1,1,0,1,0,1,1
360,12146.997571829961,360,0.6914893617021277,188,130,3.1,7,7374,4,0,2,2,1,1,1,0,1,0,1,1
361,522.9395068772142,361,0.7222222222222222,162,117,1.7,2,3564,2,0,0,2,0,0,1,0,0,1,1,1
362,1592.3125568513055,362,0.46524064171123,187,87,1.7,2,3564,2,0,0,2,0,0,1,0,0,1,1,1
363,2225.37697340752,363,0.5283018867924528,212,112,1.7,2,3564,2,0,0,2,0,0,1,0,0,1,1,1
364,5295.773900265356,364,0.6534296028880866,277,181,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,0,1
365,8837.053372259386,365,0.6018099547511312,221,133,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,0,1
366,2195.1491353209103,366,0.6532258064516129,124,81,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,0,1
367,1779.243416057432,367,0.5494505494505495,182,100,2.7,2,3640,4,2,2,0,1,0,0,1,1,0,0,1
368,3980.806086239935,368,0.726775956284153,183,133,2.7,2,3640,4,2,2,0,1,0,0,1,1,0,0,1
369,3184.512497628487,369,0.7333333333333333,180,132,2.7,2,3640,4,2,2,0,1,0,0,1,1,0,0,1
370,678.677102350341,370,0.5081081081081081,185,94,1.5,4,548,2,1,1,0,0,0,1,0,0,0,0,1
371,1176.1208840375568,371,0.6075268817204301,186,113,1.5,4,548,2,1,1,0,0,0,1,0,0,0,0,1
372,414.0173551858501,372,0.6910112359550562,178,123,1.5,4,548,2,1,1,0,0,0,1,0,0,0,0,1
373,569.1703154237348,373,0.8390804597701149,174,146,1.5,4,426,2,1,0,1,0,0,0,1,1,0,0,1
374,214.83069494451203,374,0.6793478260869565,184,125,1.5,4,426,2,1,0,1,0,0,0,1,1,0,0,1
375,668.7516920993336,375,0.916256157635468,203,186,1.5,4,426,2,1,0,1,0,0,0,1,1,0,0,1
376,1666.42071936067,376,0.4371584699453552,183,80,1.7,3,1093,2,0,2,0,0,0,1,0,0,0,0,1
377,5824.336101002486,377,0.6721311475409836,183,123,2.7,6,1651,4,2,2,0,1,1,1,0,1,0,1,1
378,2341.7360265890607,378,0.6610169491525424,177,117,2.7,6,1651,4,2,2,0,1,1,1,0,1,0,1,1
379,2540.708919037284,379,0.7597765363128491,179,136,2.7,6,1651,4,2,2,0,1,1,1,0,1,0,1,1
380,2274.9336362875647,380,0.5102040816326531,196,100,1.7,6,1587,2,0,1,1,0,0,0,1,0,1,0,1
381,2783.8191923463355,381,0.575,40,23,1.7,6,1587,2,0,1,1,0,0,1,0,0,1,0,1
382,1643.6011085337962,382,0.6505376344086021,186,121,1.7,6,1587,2,0,1,1,0,0,0,1,0,1,0,1
383,7492.261937595204,383,0.539906103286385,213,115,2.7,2,3564,4,2,0,2,1,0,0,1,1,1,1,1
384,4387.003759380541,384,0.6053811659192825,223,135,2.7,2,3564,4,2,0,2,1,0,0,1,1,1,1,1
385,3494.781640526374,385,0.7793103448275862,145,113,2.7,2,3564,4,2,0,2,1,0,0,1,1,1,1,1
386,628.0760983269714,386,0.42328042328042326,189,80,2.2,3,1150,3,1,1,1,1,1,1,0,1,0,0,1
387,997.6336212015128,387,0.603448275862069,174,105,2.2,3,1150,3,1,1,1,1,1,1,0,1,0,0,1
388,2683.877744784963,388,0.3597560975609756,164,59,2.2,3,1150,3,1,1,1,1,1,1,0,1,0,0,1
389,2351.799467725922,389,0.6744186046511628,129,87,1.0,3,1110,1,0,0,1,0,0,1,0,0,0,0,1
390,1338.2937749425569,390,0.39669421487603307,121,48,1.0,3,1110,1,0,0,1,0,0,1,0,0,0,0,1
391,2779.5185855291425,391,0.42073170731707316,164,69,1.7,2,3640,2,0,2,0,0,0,1,0,0,0,0,1
392,293.5695317670114,392,0.3641304347826087,184,67,3.0,3,1003,5,4,0,1,0,0,1,0,0,0,0,1
393,1165.7625379090211,393,0.30131004366812225,229,69,3.0,3,1003,5,4,0,1,0,0,1,0,0,0,0,1
394,3012.7261296568186,394,0.5085714285714286,175,89,1.0,1,2058,1,0,0,1,1,0,0,1,1,1,1,1
395,2092.7714143112403,395,0.580110497237569,181,105,1.0,1,2058,1,0,0,1,1,0,0,1,1,1,1,1
396,1004.7734347191317,396,0.5470588235294118,170,93,1.0,1,2058,1,0,0,1,1,0,0,1,1,1,1,1
397,1306.7809995083612,397,0.732484076433121,157,115,1.0,3,1110,1,0,1,0,0,1,1,0,0,0,0,1
398,1031.7092168412594,398,0.5048076923076923,208,105,1.0,3,1110,1,0,1,0,0,1,1,0,0,0,0,1
399,1212.670616348998,399,0.6038461538461538,260,157,1.0,3,1110,1,0,1,0,0,1,1,0,0,0,0,1
400,3855.7577887917605,400,0.5045871559633027,218,110,2.9,1,2187,4,1,1,2,1,0,0,1,1,0,0,1
401,4475.970438702412,401,0.7391304347826086,161,119,2.9,1,2187,4,1,1,2,1,0,0,1,1,0,0,1
402,2114.70730099805,402,0.5142857142857142,210,108,2.9,1,2187,4,1,1,2,1,0,0,1,1,0,0,1
403,3729.9108216864342,403,0.5394736842105263,228,123,2.7,1,2294,4,2,2,0,1,0,1,0,0,0,0,1
404,2285.2195766911577,404,0.4371584699453552,183,80,2.7,1,2294,4,2,2,0,1,0,1,0,0,0,0,1
405,4047.9337085618454,405,0.75177304964539,141,106,2.7,1,2294,4,2,2,0,1,0,1,0,0,0,0,1
406,503.9926238273998,406,0.5463917525773195,194,106,1.5,3,1110,2,1,0,1,0,0,1,0,0,0,0,1
407,2015.729895087809,407,0.7011494252873564,174,122,1.5,3,1110,2,1,0,1,0,0,1,0,0,0,0,1
408,372.17905663895124,408,0.7371428571428571,175,129,1.5,3,1110,2,1,0,1,0,0,1,0,0,0,0,1
409,631.9558151014994,409,0.7954545454545454,176,140,1.0,4,426,1,0,0,1,0,0,1,0,0,0,0,1
410,834.4146203990465,410,0.8142076502732241,183,149,1.0,4,426,1,0,0,1,0,0,1,0,0,0,0,1
411,288.35975251377715,411,0.827027027027027,185,153,1.0,4,426,1,0,0,1,0,0,1,0,0,0,0,1
412,1041.345825663288,412,0.5054347826086957,184,93,3.9,3,1093,6,3,1,2,1,0,0,1,1,0,1,1
413,297.13985530317314,413,0.5084745762711864,177,90,3.9,3,1093,6,3,1,2,1,0,0,1,1,0,1,1
414,777.5048021147378,414,0.5476190476190477,168,92,3.9,3,1093,6,3,1,2,1,0,0,1,1,0,1,1
415,1548.3944376886598,415,0.7591623036649214,191,145,1.7,1,2067,2,0,2,0,0,0,1,0,0,0,0,1
416,917.1359622845143,416,0.44919786096256686,187,84,1.7,1,2067,2,0,2,0,0,0,1,0,0,0,0,1
417,2329.2044605608457,417,0.5142857142857142,175,90,3.7,7,6149,6,4,2,0,1,0,0,1,1,0,1,1
418,6833.568257317542,418,0.5081081081081081,185,94,3.7,7,6149,6,4,2,0,1,0,0,1,1,0,1,1
419,3020.290209175093,419,0.5384615384615384,169,91,3.7,7,6149,6,4,2,0,1,0,0,1,1,0,1,1
420,1596.7595220699911,420,0.6330275229357798,109,69,2.4,3,1093,3,0,2,1,1,0,0,1,1,0,1,1
421,1155.4254311120787,421,0.7613636363636364,352,268,2.7,1,2187,4,2,1,1,1,0,0,1,1,0,1,1
422,1676.9213814637953,422,0.7401129943502824,177,131,2.7,1,2187,4,2,1,1,1,0,0,1,1,0,1,1
423,1934.9293143699615,423,0.6082191780821918,365,222,1.7,3,1106,2,0,0,2,1,0,1,0,1,1,1,1
424,536.4419982743586,424,0.6519337016574586,181,118,1.7,3,1106,2,0,0,2,1,0,1,0,1,1,1,1
425,1896.5521034103128,425,0.6,190,114,1.7,3,1106,2,0,0,2,1,0,1,0,1,1,1,1
426,894.6157664436278,426,0.6157894736842106,190,117,1.7,4,560,2,0,1,1,1,0,0,1,1,1,1,1
427,1206.6411641203754,427,0.5,186,93,1.7,4,560,2,0,1,1,1,0,0,1,1,1,1,1
428,839.7525826721408,428,0.6795580110497238,181,123,1.7,4,560,2,0,1,1,1,0,0,1,1,1,1,1
429,2050.8038245194152,429,0.6868131868131868,182,125,3.6,5,1419,5,1,3,1,1,0,0,1,1,0,1,1
430,749.2638131603733,430,0.7967032967032966,182,145,3.6,5,1419,5,1,3,1,1,0,0,1,1,0,1,1
431,2716.324136393695,431,0.46261682242990654,214,99,5.5,1,1882,8,2,1,5,1,0,0,1,1,0,1,1
432,1761.3764723354318,432,0.6261261261261262,222,139,5.5,1,1882,8,2,1,5,1,0,0,1,1,0,1,1
433,1603.7443678414434,433,0.7517241379310344,145,109,5.5,1,1882,8,2,1,5,1,0,0,1,1,0,1,1
434,6638.98000331416,434,0.5104166666666666,192,98,1.7,7,7374,2,0,1,1,0,0,1,0,0,0,0,1
435,520.239887659236,435,0.43478260869565216,184,80,1.7,7,7374,2,0,1,1,0,0,1,0,0,0,0,1
436,1093.818391440831,436,0.7314285714285714,175,128,1.7,7,7374,2,0,1,1,0,0,1,0,0,0,0,1
437,1215.976795053152,437,0.16751269035532995,197,33,2.0,3,1110,3,2,0,1,1,0,1,0,1,0,0,1
438,2208.857574098126,438,0.3202247191011236,178,57,2.0,3,1110,3,2,0,1,1,0,1,0,1,0,0,1
439,1553.3436778575538,439,0.14450867052023122,173,25,2.0,3,1110,3,2,0,1,1,0,1,0,1,0,0,1
440,744.6639187431721,440,0.7294117647058823,170,124,1.7,3,1106,2,0,0,2,0,0,1,0,1,1,0,1
441,1219.852635575934,441,0.4514285714285714,175,79,1.7,3,1106,2,0,0,2,0,0,1,0,1,1,0,1
442,2142.067343160178,442,0.19576719576719576,189,37,2.7,3,1093,4,2,1,1,1,0,0,1,1,0,1,1
443,1593.3320683441784,443,0.3114754098360656,183,57,2.7,3,1093,4,2,1,1,1,0,0,1,1,0,1,1
444,3311.9960285022416,444,0.7267441860465116,172,125,3.2,1,2294,5,3,2,0,0,0,1,0,0,0,1,1
445,6293.569891245923,445,0.5128205128205128,195,100,3.2,1,2294,5,3,2,0,0,0,1,0,0,0,1,1
446,2811.1416404031684,446,0.4521276595744681,188,85,3.2,1,2294,5,3,2,0,0,0,1,0,0,0,1,1
447,2337.762065321784,447,0.9230769230769231,182,168,1.7,6,4603,2,0,2,0,1,1,0,1,1,0,1,1
448,4399.354757529327,448,0.6703910614525139,179,120,1.7,6,4603,2,0,2,0,1,1,0,1,1,0,1,1
449,218.7120631580783,449,0.6351351351351351,74,47,1.7,6,4603,2,0,2,0,1,1,0,1,1,0,1,1
450,1159.8110920004115,450,0.6127450980392157,204,125,2.7,1,2035,4,2,1,1,0,0,1,0,0,0,0,1
451,3218.388137675114,451,0.5235602094240838,191,100,2.7,1,2035,4,2,1,1,0,0,1,0,0,0,0,1
452,425.9476579572929,452,0.691358024691358,162,112,2.7,1,2035,4,2,1,1,0,0,1,0,0,0,0,1
453,486.3368477867958,453,0.7361963190184049,163,120,2.2,4,426,3,1,0,2,0,0,1,0,0,0,0,1
454,419.46889447179774,454,0.6797752808988764,178,121,2.2,4,426,3,1,0,2,0,0,1,0,0,0,0,1
455,244.7496123360338,455,0.4276315789473684,152,65,2.2,4,426,3,1,0,2,0,0,1,0,0,0,0,1
456,373.2173889576632,456,0.6296296296296297,216,136,1.0,4,426,1,0,0,1,1,0,1,0,1,0,1,1
