id_projet,menage,tailledelafamille,nbreenfants,nbreadultes,revenunetmois,ucoxford,ucocde,niveaudevieoxford,niveaudevieocde,poor_oxford,poor_ocde,assaini,sep_t0_ibt_ep,sep_tmin_ibt_ep,sep_t_ibt_ep,sep_t_ibt_pp_ep,sep_t0_tbse_ep,sep_tmin_tbse_ep,sep_t_tbse_ep,a_t0_ibt,a_tmin_ibt,a_t_ibt,a_t_ibt_pp,a_t0_tbse,a_tmin_tbse,a_t_tbse,sepa_t0_ibt,sepa_tmin_ibt,sepa_t_ibt,sepa_t_ibt_pp,sepa_t0_tbse,sepa_tmin_tbse,sepa_t_tbse,car_ibt,car_tbse,car_ibt_1,car_tbse_1,car_ibt_2,car_tbse_2,car_ibt_3,car_tbse_3,seuil_depenses_trim_par_pct_3_r,exces_dep_0_inclus_ibt,exces_dep_0_inclus_tbse
1,1,4,2,2,226.8763610136325,2.7,2.1,84.02828185690092,108.03636238744404,1,1,0,34.33769247974026,32.87342510918752,47.446405077609754,44.3557235348151,63.60390407979826,62.10735827021529,73.08205493514704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.33769247974026,32.87342510918752,47.446405077609754,44.3557235348151,63.60390407979826,62.10735827021529,73.08205493514704,6.970963518871379,10.737427588111997,1,1,4,4,2,2,20.418872491226924,27.02753258638283,52.66318244392012
1,2,4,2,2,840.2123494014184,2.7,2.1,311.18975903756234,400.10111876258014,1,1,0,34.92526951724525,32.87342510918752,64.06082663899234,61.048776780407714,63.924463784100986,62.10735827021529,83.9866026221803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.92526951724525,32.87342510918752,64.06082663899234,61.048776780407714,63.924463784100986,62.10735827021529,83.9866026221803,2.5414538235336326,3.3319593823320894,0,1,0,4,0,2,75.61911144612765,0.0,8.367491176052653
1,3,4,2,2,1756.3742302036542,2.7,2.1,650.5089741495015,836.3686810493591,1,0,0,37.16918725878953,32.87342510918752,81.41172326490886,71.69089260546096,65.09281299103063,62.10735827021529,94.5618108475888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.16918725878953,32.87342510918752,81.41172326490886,71.69089260546096,65.09281299103063,62.10735827021529,94.5618108475888,1.5450716949517274,1.794640519874177,0,0,0,0,0,0,158.07368071832886,0.0,0.0
1,7,2,0,2,6463.649119675464,1.7,1.5,3802.1465409855673,4309.099413116976,0,0,0,41.260492437617486,31.403437387820432,134.04879636731465,124.99299021690777,67.22304845933309,60.60496600990024,120.64769666359908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.260492437617486,31.403437387820432,134.04879636731465,124.99299021690777,67.22304845933309,60.60496600990024,120.64769666359908,0.6912957571663747,0.6221856747367125,0,0,0,0,0,0,581.7284207707918,0.0,0.0
1,8,2,0,2,10383.062495687187,1.7,1.5,6107.683820992464,6922.041663791458,0,0,0,34.928646081677854,31.403437387820432,124.09374541720172,114.92813175528042,63.92622187277952,60.60496600990024,115.76777092634308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.928646081677854,31.403437387820432,124.09374541720172,114.92813175528042,63.92622187277952,60.60496600990024,115.76777092634308,0.3983851760780166,0.3716558288219541,0,0,0,0,0,0,934.4756246118468,0.0,0.0
1,9,2,0,2,6181.2073448151805,1.7,1.5,3636.004320479518,4120.804896543454,0,0,0,35.16925309380501,31.403437387820432,108.32675812761542,98.99942034026759,64.0514996432592,60.60496600990024,107.9807636376906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.16925309380501,31.403437387820432,108.32675812761542,98.99942034026759,64.0514996432592,60.60496600990024,107.9807636376906,0.5841725954422173,0.5823067545116692,0,0,0,0,0,0,556.3086610333662,0.0,0.0
1,10,4,0,4,1386.2490102750019,3.0999999999999996,2.5,447.17710008871035,554.4996041100007,1,1,0,42.01081846952166,38.096798615793254,89.05803484959208,79.54442230861116,67.61372357548532,65.57579593342155,98.33237310326227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.01081846952166,38.096798615793254,89.05803484959208,79.54442230861116,67.61372357548532,65.57579593342155,98.33237310326227,2.1414631423716313,2.364471134560816,0,0,0,0,0,0,124.76241092475016,0.0,0.0
1,11,4,0,4,1468.3470457922035,3.0999999999999996,2.5,473.6603373523238,587.3388183168814,1,1,0,45.11532680993063,38.096798615793254,99.041187103313,89.70685736930952,69.2301597711041,65.57579593342155,103.28021425290675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.11532680993063,38.096798615793254,99.041187103313,89.70685736930952,69.2301597711041,65.57579593342155,103.28021425290675,2.2483600950500144,2.3445913677531403,0,0,0,0,0,0,132.1512341212983,0.0,0.0
1,12,4,0,4,6238.997756591493,3.0999999999999996,2.5,2012.579921481127,2495.5991026365973,0,0,0,43.09767623848281,38.096798615793254,140.0448541963277,131.0401938153002,68.17962195442377,65.57579593342155,123.59143454809079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.09767623848281,38.096798615793254,140.0448541963277,131.0401938153002,68.17962195442377,65.57579593342155,123.59143454809079,0.7482230301513331,0.6603167120205944,0,0,0,0,0,0,561.5097980932344,0.0,0.0
1,13,2,0,2,3087.8638682867445,1.7,1.5,1816.3905107569085,2058.575912191163,0,0,0,32.16623078601282,28.97028188743259,73.06804506701059,64.368945,61.38457449302271,58.11817381511507,90.0180501200418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.16623078601282,28.97028188743259,73.06804506701059,64.368945,61.38457449302271,58.11817381511507,90.0180501200418,0.7887658284576656,0.9717402705103382,0,0,0,0,0,0,277.907748145807,0.0,0.0
