id_projet,menage,tailledelafamille,nbreenfants,nbreadultes,revenunetmois,ucoxford,ucocde,niveaudevieoxford,niveaudevieocde,poor_oxford,poor_ocde,assaini,sep_t0_ibt_ep,sep_tmin_ibt_ep,sep_t_ibt_ep,sep_t_ibt_pp_ep,sep_t0_tbse_ep,sep_tmin_tbse_ep,sep_t_tbse_ep,a_t0_ibt,a_tmin_ibt,a_t_ibt,a_t_ibt_pp,a_t0_tbse,a_tmin_tbse,a_t_tbse,sepa_t0_ibt,sepa_tmin_ibt,sepa_t_ibt,sepa_t_ibt_pp,sepa_t0_tbse,sepa_tmin_tbse,sepa_t_tbse,par_ibt,par_tbse,par_ibt_1,par_tbse_1,par_ibt_2,par_tbse_2,par_ibt_3,par_tbse_3,seuil_depenses_trim_par_pct_3_r,exces_dep_0_inclus_ibt,exces_dep_0_inclus_tbse,lz_ina_tbse_menage,lz_ina_tbse_exces_dep_tbse,lz_ina_tbse_rg_normalise,lz_ina_tbse_alpha,lz_ina_tbse_l_tbse,cc_ina_nv_tbse_menage,cc_ina_nv_tbse_nivvie_ocde,cc_ina_nv_tbse_rg_nivvie,cc_ina_nv_tbse_rg_ina_tbse,cc_ina_nv_tbse_excdep_tbse,cc_ina_nv_tbse_alpha,cc_ina_nv_tbse_c_tbse,lz_ina_ibt_menage,lz_ina_ibt_exces_dep_ibt,lz_ina_ibt_rg_normalise_ibt,lz_ina_ibt_alpha,lz_ina_ibt_l_ibt,cc_ina_nivvie_ibt_menage,cc_ina_nivvie_ibt_niveau_de_vie_ocde,cc_ina_nivvie_ibt_rang_nor_niveau_de_vie,cc_ina_nivvie_ibt_rg_inab_ibt,cc_ina_nivvie_ibt_exces_dep_ibt,cc_ina_nivvie_ibt_alpha,cc_ina_nivvie_ibt_c_ibt,cc_gen_rang,cc_gen_cg_tbse,cc_gen_cg_ibt
1,1,4,2,2,1.0,2.7,2.1,0.37,0.48,1,1,0,34.33769247974026,32.87342510918752,47.446405077609754,44.3557235348151,63.60390407979826,62.10735827021529,73.08205493514704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.33769247974026,32.87342510918752,47.446405077609754,44.3557235348151,63.60390407979826,62.10735827021529,73.08205493514704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4,2,2,1.0,2.7,2.1,0.37,0.48,1,1,0,34.92526951724525,32.87342510918752,64.06082663899234,61.048776780407714,63.924463784100986,62.10735827021529,83.9866026221803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.92526951724525,32.87342510918752,64.06082663899234,61.048776780407714,63.924463784100986,62.10735827021529,83.9866026221803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,4,2,2,1.0,2.7,2.1,0.37,0.48,1,1,0,37.16918725878953,32.87342510918752,81.41172326490886,71.69089260546096,65.09281299103063,62.10735827021529,94.5618108475888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.16918725878953,32.87342510918752,81.41172326490886,71.69089260546096,65.09281299103063,62.10735827021529,94.5618108475888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,8,3,5,3.0,5.3,3.9,0.57,0.77,1,1,1,58.051098651957744,58.051098651957744,124.12720287984885,117.64008707937498,75.96547742238926,75.96547742238926,121.8465626782414,67.34442014157597,67.34442014157597,125.00865370455406,119.56357799318639,78.20857874059479,78.20857874059479,99.53181553634715,125.39551879353371,125.39551879353371,249.13585658440292,237.20366507256136,154.17405616298404,154.17405616298404,221.37837821458857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,8,3,5,3.0,5.3,3.9,0.57,0.77,1,1,1,58.051098651957744,58.051098651957744,102.66725536499084,96.16291307827149,75.96547742238926,75.96547742238926,110.38718387686325,67.34442014157597,67.34442014157597,106.99586611536961,101.53633104721959,78.20857874059479,78.20857874059479,94.20606863320815,125.39551879353371,125.39551879353371,209.66312148036045,197.69924412549108,154.17405616298404,154.17405616298404,204.5932525100714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,8,3,5,3.0,5.3,3.9,0.57,0.77,1,1,1,58.051098651957744,58.051098651957744,118.80821465512147,112.31473755113726,75.96547742238926,75.96547742238926,119.01790342391155,67.34442014157597,67.34442014157597,120.54406659337624,115.09365140907451,78.20857874059479,78.20857874059479,98.21719599850877,125.39551879353371,125.39551879353371,239.35228124849772,227.40838896021177,154.17405616298404,154.17405616298404,217.23509942242032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,2,0,2,7.0,1.7,1.5,4.12,4.67,1,1,0,41.260492437617486,31.403437387820432,134.04879636731465,124.99299021690777,67.22304845933309,60.60496600990024,120.64769666359908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.260492437617486,31.403437387820432,134.04879636731465,124.99299021690777,67.22304845933309,60.60496600990024,120.64769666359908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,2,0,2,7.0,1.7,1.5,4.12,4.67,1,1,0,34.928646081677854,31.403437387820432,124.09374541720172,114.92813175528042,63.92622187277952,60.60496600990024,115.76777092634308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.928646081677854,31.403437387820432,124.09374541720172,114.92813175528042,63.92622187277952,60.60496600990024,115.76777092634308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,2,0,2,7.0,1.7,1.5,4.12,4.67,1,1,0,35.16925309380501,31.403437387820432,108.32675812761542,98.99942034026759,64.0514996432592,60.60496600990024,107.9807636376906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.16925309380501,31.403437387820432,108.32675812761542,98.99942034026759,64.0514996432592,60.60496600990024,107.9807636376906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,4,0,4,1.0,3.1,2.5,0.32,0.4,1,1,0,42.01081846952166,38.096798615793254,89.05803484959208,79.54442230861116,67.61372357548532,65.57579593342155,98.33237310326227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.01081846952166,38.096798615793254,89.05803484959208,79.54442230861116,67.61372357548532,65.57579593342155,98.33237310326227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
